MUNICÍPIO,TOTAL_INFANTIL,TOTAL_FUNDAMENTAL,ANOS_INICIAIS,ANOS_FINAIS,TOTAL_MEDIO_ESTADUAL,MEDIO_PROPEDEUTICO,MEDIO_TECNICO,MEDIO_QUALIFICACAO_PROFISSIONAL,MEDIO_MAGISTERIO,TECNICO_CONCOMITANTE,EJA_FUNDAMENTAL,EJA_MEDIO,ESPECIAL
Acari,0,298,0,298,267,156,111,0,0,0,0,25,54
Açu,0,822,141,681,1307,719,588,0,0,0,376,160,204
Afonso Bezerra,0,393,127,266,346,257,89,0,0,0,0,0,27
Água Nova,0,0,0,0,115,115,0,0,0,0,0,0,11
Alexandria,0,512,0,512,412,251,139,22,0,16,0,87,62
Almino Afonso,0,354,94,260,133,57,76,0,0,0,0,0,29
Alto do Rodrigues,0,0,0,0,530,285,245,0,0,0,0,51,24
Angicos,0,374,246,128,361,290,71,0,0,0,61,0,51
Antônio Martins,0,199,66,133,157,139,0,18,0,0,0,0,10
Apodi,0,1165,318,847,1021,624,249,148,0,0,59,0,219
Areia Branca,0,574,263,311,693,468,225,0,0,0,130,280,114
Arês,0,0,0,0,413,303,110,0,0,0,0,57,23
Baía Formosa,0,114,0,114,358,356,2,0,0,0,0,0,21
Baraúna,0,115,27,88,1095,1095,0,0,0,0,0,0,51
Barcelona,0,0,0,0,99,99,0,0,0,0,0,26,3
Bento Fernandes,0,134,0,134,128,85,0,43,0,0,0,43,5
Bodó,0,0,0,0,95,95,0,0,0,0,0,0,10
Bom Jesus,0,364,211,153,227,181,46,0,0,0,23,104,51
Brejinho,0,532,295,237,475,263,212,0,0,0,0,40,50
Caiçara do Norte,0,226,0,226,82,82,0,0,0,0,77,131,10
Caiçara do Rio do Vento,0,205,100,105,112,54,0,58,0,0,0,24,13
Caicó,0,1285,332,953,1314,930,158,226,0,0,276,341,162
Campo Grande,0,122,45,77,281,224,57,0,0,9,28,0,31
Campo Redondo,0,57,0,57,289,289,0,0,0,0,0,21,19
Canguaretama,0,358,0,358,1001,845,93,63,0,0,52,279,72
Caraúbas,0,576,292,284,696,536,160,0,0,0,22,87,122
Carnaúba dos Dantas,0,99,0,99,182,182,0,0,0,0,27,36,22
Carnaubais,0,365,176,189,239,89,114,36,0,0,0,24,19
Ceará-Mirim,0,2738,1087,1651,3091,2495,571,25,0,0,518,330,279
Cerro Corá,0,180,14,166,376,283,93,0,0,0,0,61,38
Coronel Ezequiel,0,23,0,23,122,46,54,22,0,0,0,0,6
Coronel João Pessoa,0,0,0,0,89,89,0,0,0,0,0,18,5
Cruzeta,0,169,143,26,214,214,0,0,0,0,0,0,35
Currais Novos,0,278,156,122,1033,556,186,291,0,0,229,211,97
Doutor Severiano,0,0,0,0,243,243,0,0,0,0,0,0,18
Encanto,0,99,0,99,198,30,0,168,0,0,0,0,14
Equador,0,112,0,112,228,228,0,0,0,0,56,0,26
Espírito Santo,0,241,0,241,226,154,72,0,0,0,0,36,17
Extremoz,0,1340,472,868,1696,1195,464,37,0,0,51,330,162
Felipe Guerra,0,14,0,14,242,18,0,224,0,0,0,0,9
Fernando Pedroza,0,100,30,70,95,95,0,0,0,0,0,0,11
Florânia,0,215,80,135,323,265,58,0,0,0,0,0,36
Francisco Dantas,0,22,0,22,91,91,0,0,0,0,0,0,10
Frutuoso Gomes,0,198,93,105,137,43,94,0,0,0,0,0,31
Galinhos,0,0,0,0,84,84,0,0,0,0,0,21,2
Goianinha,0,293,0,293,1205,745,460,0,0,0,0,69,82
Governador Dix-Sept Rosado,0,385,135,250,331,220,41,70,0,0,62,0,51
Grossos,0,316,176,140,297,268,29,0,0,0,56,0,64
Guamaré,0,0,0,0,539,248,0,291,0,0,0,166,44
Ielmo Marinho,0,179,71,108,403,339,64,0,0,0,0,0,24
Ipanguaçu,0,270,145,125,438,400,0,38,0,0,80,72,30
Ipueira,0,0,0,0,55,55,0,0,0,0,0,16,4
Itajá,0,181,0,181,263,116,3,144,0,0,32,0,27
Itaú,0,106,106,0,171,108,0,63,0,0,0,0,35
Jaçanã,0,271,166,105,190,190,0,0,0,0,0,27,27
Jandaíra,0,131,131,0,240,132,108,0,0,0,0,53,11
Janduís,0,113,63,50,138,122,3,13,0,0,0,0,13
Januário Cicco,0,0,0,0,216,216,0,0,0,0,0,13,13
Japi,0,308,125,183,182,182,0,0,0,0,0,0,29
Jardim de Angicos,0,0,0,0,78,78,0,0,0,0,0,30,2
Jardim de Piranhas,0,136,136,0,399,279,120,0,0,6,0,63,41
Jardim do Seridó,0,253,122,131,207,74,103,30,0,0,16,42,26
João Câmara,0,253,0,253,1391,936,419,36,0,0,161,185,79
João Dias,0,0,0,0,48,0,0,48,0,0,0,0,2
José da Penha,0,112,0,112,210,210,0,0,0,0,0,0,10
Jucurutu,0,429,114,315,492,448,44,0,0,0,46,79,54
Jundiá,0,0,0,0,104,97,7,0,0,0,0,28,5
Lagoa d'Anta,0,290,141,149,246,192,54,0,0,0,0,34,35
Lagoa de Pedras,0,83,0,83,239,161,78,0,0,0,0,51,10
Lagoa de Velhos,0,0,0,0,85,85,0,0,0,0,0,27,4
Lagoa Nova,0,111,0,111,568,527,41,0,0,0,0,52,29
Lagoa Salgada,0,342,105,237,398,339,59,0,0,0,0,86,32
Lajes,0,214,58,156,342,244,98,0,0,0,0,16,38
Lajes Pintadas,0,88,0,88,135,135,0,0,0,0,0,0,14
Lucrécia,0,119,35,84,146,28,0,118,0,0,52,0,17
Luís Gomes,0,279,140,139,291,291,0,0,0,0,0,68,37
Macaíba,0,1705,349,1356,2213,1442,635,136,0,0,182,378,255
Macau,0,700,246,454,581,236,109,236,0,0,27,47,66
Major Sales,0,0,0,0,95,61,34,0,0,0,0,22,8
Marcelino Vieira,0,361,125,236,312,153,0,159,0,0,0,0,23
Martins,0,288,115,173,305,123,0,182,0,0,8,36,51
Maxaranguape,0,0,0,0,237,237,0,0,0,0,0,68,7
Messias Targino,0,56,0,56,144,121,0,23,0,0,0,0,12
Montanhas,0,338,0,338,396,356,40,0,0,0,22,58,46
Monte Alegre,0,0,0,0,766,760,6,0,0,0,0,0,44
Monte das Gameleiras,0,0,0,0,112,112,0,0,0,0,0,0,2
Mossoró,0,9408,3847,5561,6625,4718,1346,561,0,21,947,619,1605
Natal,0,18738,6804,11934,17814,12058,3555,2201,0,0,1996,3371,2656
Nísia Floresta,0,412,260,152,587,323,264,0,0,0,0,118,67
Nova Cruz,0,736,367,369,1074,808,198,68,0,0,107,60,123
Olho d'Água do Borges,0,60,0,60,88,17,0,71,0,0,0,16,14
Ouro Branco,0,120,0,120,116,13,103,0,0,0,0,14,19
Paraná,0,128,0,128,145,145,0,0,0,0,0,0,8
Paraú,0,127,27,100,103,103,0,0,0,0,0,11,15
Parazinho,0,95,38,57,177,90,64,23,0,0,0,80,16
Parelhas,0,1339,609,730,589,493,96,0,0,0,40,86,130
Parnamirim,0,1093,0,1093,5520,4503,898,119,0,0,269,865,420
Passa e Fica,0,273,127,146,401,368,33,0,0,0,0,0,51
Passagem,0,0,0,0,100,100,0,0,0,0,0,0,6
Patu,0,298,131,167,417,327,0,90,0,0,40,56,65
Pau dos Ferros,0,1649,764,885,797,761,0,36,0,0,66,111,151
Pedra Grande,0,0,0,0,106,106,0,0,0,0,0,20,7
Pedra Preta,0,0,0,0,98,96,2,0,0,0,0,0,6
Pedro Avelino,0,312,104,208,207,100,107,0,0,0,0,0,12
Pedro Velho,0,433,286,147,502,501,1,0,0,0,0,46,43
Pendências,0,327,18,309,364,37,210,117,0,0,0,63,27
Pilões,0,129,52,77,91,91,0,0,0,0,0,0,8
Poço Branco,0,0,0,0,394,130,0,264,0,0,60,31,10
Portalegre,0,133,74,59,250,250,0,0,0,0,0,0,14
Porto do Mangue,0,0,0,0,152,0,0,152,0,0,49,55,15
Pureza,0,224,103,121,299,299,0,0,0,0,0,0,31
Rafael Fernandes,0,146,82,64,131,131,0,0,0,0,0,0,15
Rafael Godeiro,0,0,0,0,106,38,0,68,0,0,0,27,8
Riacho da Cruz,0,17,17,0,123,123,0,0,0,0,55,0,5
Riacho de Santana,0,93,0,93,119,36,0,83,0,0,11,0,8
Riachuelo,0,226,98,128,200,200,0,0,0,0,17,49,34
Rio do Fogo,0,0,0,0,497,472,0,25,0,0,0,0,14
Rodolfo Fernandes,0,63,63,0,149,149,0,0,0,0,0,0,11
