MUNICÍPIO,TOTAL_INFANTIL,CRECHE,PRE_ESCOLA,TOTAL_FUNDAMENTAL,ANOS_INICIAIS,ANOS_FINAIS,TOTAL_MEDIO,MEDIO_PROPEDEUTICO,MEDIO_MAGISTERIO,MEDIO_TECNICO,MEDIO_PROFISSIONAL,ITINERARIO_FORMATIVO_EXCLUSIVO,TOTAL_EDUCACAO_PROFISSIONAL,EPT_CURSO_TECNICO,EPT_TECNICO_CONCOMITANTE,EPT_TECNICO_SUBSEQUENTE,EPT_ITINERARIO_FORMATIVO_TECNICO_PROF_EXCLUSIVO_CURSO_TECNICO,CURSO_TECNICO_MISTO,CURSO_TECNICO _INTEGRADO_EJA_MEDIO,TOTAL_FORMACAO_INICIAL_CONTINUADA,CURSO_FIC_CONCOMITANTE,CURSO_FIC_INTEGRADO_EJA,ENSINO_MEDIO_ARTICULADO_ITINERARIO_FORMATIVO_TECNICO_EDUCA,FIC_ITINERARIO_FORMATIVO_TECNICO_PROFISSIONAL_EXCLUSIVO,TOTAL_EJA,EJA_FUNDAMENTAL,EJA_MEDIO,TOTAL_EDUCACAO_ESPECIAL,EE_CLASSES_COMUNS,EE_CLASSES_EXCLUSIVAS
Acari,0,0,0,19,0,19,29,17,0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,6,0,6,32,32,0
Açu,0,0,0,49,15,36,70,43,0,48,0,9,48,48,0,36,0,14,0,0,0,0,0,0,22,19,14,130,130,0
Afonso Bezerra,0,0,0,19,10,9,17,15,0,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0
Água Nova,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
Alexandria,0,0,0,26,0,26,29,18,0,12,13,0,25,12,1,1,0,0,0,0,0,0,13,0,9,0,9,51,51,0
Almino Afonso,0,0,0,24,9,15,15,12,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0
Alto do Rodrigues,0,0,0,0,0,0,36,19,0,18,0,0,18,18,0,4,0,0,0,0,0,0,0,0,10,0,10,36,36,0
Angicos,0,0,0,33,11,22,30,29,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,9,9,0,51,51,0
Antônio Martins,0,0,0,21,6,15,15,14,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,22,22,0
Apodi,0,0,0,83,26,65,73,57,0,44,40,0,59,44,0,17,0,0,0,0,0,0,40,0,10,10,0,124,124,0
Areia Branca,0,0,0,41,15,26,41,38,0,16,0,0,16,16,0,0,0,0,0,0,0,0,14,0,18,13,15,70,70,0
Arês,0,0,0,0,0,0,24,22,0,19,0,0,24,19,0,0,0,0,10,0,0,7,0,0,10,0,10,25,25,0
Baía Formosa,0,0,0,9,0,9,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0
Baraúna,0,0,0,9,0,9,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0
Barcelona,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,9,9,0
Bento Fernandes,0,0,0,10,0,10,12,11,0,0,11,0,12,0,0,0,0,0,6,0,0,0,11,0,7,0,7,12,12,0
Bodó,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
Bom Jesus,0,0,0,24,12,12,21,18,0,16,0,0,17,16,0,15,0,0,0,0,0,0,0,0,15,2,13,35,35,0
Brejinho,0,0,0,23,11,12,23,19,0,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,7,0,7,40,40,0
Caiçara do Norte,0,0,0,18,0,18,17,17,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,18,9,14,20,20,0
Caiçara do Rio do Vento,0,0,0,16,6,10,11,11,0,0,11,0,11,0,0,0,0,0,0,0,0,0,11,0,10,0,10,17,17,0
Caicó,0,0,0,109,20,89,95,81,0,37,40,0,63,37,1,59,0,34,0,0,0,0,53,0,62,39,40,172,172,0
Campo Grande,0,0,0,12,4,9,18,12,0,10,0,0,11,10,3,4,0,0,0,0,0,0,0,0,7,7,0,29,29,0
Campo Redondo,0,0,0,8,0,8,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,24,24,0
Canguaretama,0,0,0,30,0,30,63,52,0,22,17,0,39,22,0,9,0,0,0,0,3,0,17,0,33,5,32,79,79,0
Caraúbas,0,0,0,50,25,25,51,38,0,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,13,2,11,81,81,0
Carnaúba dos Dantas,0,0,0,16,0,16,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,15,25,25,0
Carnaubais,0,0,0,19,9,12,18,16,0,17,15,0,18,17,0,0,0,0,0,0,0,0,15,0,9,0,9,32,32,0
Ceará-Mirim,0,0,0,139,53,87,149,122,0,49,10,0,59,49,0,26,0,7,0,0,0,0,10,0,50,35,25,249,249,0
Cerro Corá,0,0,0,20,3,19,24,22,0,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,15,0,15,29,29,0
Coronel Ezequiel,0,0,0,8,0,8,13,11,0,13,12,0,13,13,0,0,0,0,0,0,0,0,12,0,0,0,0,13,13,0
Coronel João Pessoa,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0
Cruzeta,0,0,0,21,13,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0
Currais Novos,0,0,0,35,10,25,75,58,0,29,32,0,49,29,7,17,0,7,0,0,0,0,57,0,23,17,20,103,103,0
Doutor Severiano,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0
Encanto,0,0,0,13,0,13,16,13,0,0,16,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,16,0
