TIPO UNIDADE,MUNICÍPIO,ESCOLA/SETOR/UNIDADE,TIPO VÍNCULO,CARGO,DISCIPLINA,ÁREA ADMINISTRATIVA,FUNÇÃO
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO COMISSIONADO,VDCE - VICE DIR CENTRO ESTUDOS BIBLIOT,,EQUIPE GESTORA,VICE-DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO III - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO COMISSIONADO,DCC - DIR CENTRO ESTUDOS BIBLIOT,,EQUIPE GESTORA,DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - SEGURANÇA ARMADO,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - PORTEIRO,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
"01ª DIREC - NATAL, SETOR",NATAL,"CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP, Subcoordenadoria de Ensino Fundamental",VÍNCULO SERVIDOR,"ESPECIALISTA PERM NIVEL - II, PROF PERM NIVEL - IV (DEC JUD)",,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,APOIO ADMINISTRATIVO,SERVENTE
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,APOIO ADMINISTRATIVO,MERENDEIRA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - PORTEIRO,,APOIO ADMINISTRATIVO,PORTEIRO
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,"PROF PERM NIVEL - IV, PROF PERM NIVEL - III",AEE,,SALA DE AULA
